aluminium antimonide,alsb
aluminium arsenide,alas
aluminium nitride,aln
aluminium oxide,al2o3
aluminium phosphide,alp
aluminium chloride,alcl3
aluminium fluoride,alf3
aluminium hydroxide,aloh3
aluminium nitrate,alno33
aluminium sulfate,al2so43
ammonia,nh3
ammonium azide,nh4n3
ammonium bicarbonate,nh4hco3
ammonium chromate,nh42cro4
ammonium cerium nitrate,nh42ceno36
ammonium chloride,nh4cl
ammonium chlorate,nh4clo3
ammonium cyanide,nh4cn
ammonium dichromate,nh42cr2o7
ammonium hydroxide,nh4oh
ammonium hexachloroplatinate,nh42ptcl6
ammonium nitrate,nh4no3
ammonium sulfide,nh42s4
ammonium sulfite,nh42so3
ammonium sulfate,nh42so4
ammonium persulfate,nh42s2o8
ammonium perchlorate,nh4clo4
ammonium tetrathiocyanatodiamminechromate 3,nh4crscn4nh32
antimony hydride,sbh3
antimony pentachloride,sbcl5
antimony pentafluoride,sbf5
antimony trioxide,sb2o3
arsine,ash3
arsenic trioxide ,as2o3
arsenous acid,asoh3
barium azide,ban33
barium chloride,bacl2
barium chromate,bacro4
barium chlorate,baclo3
barium carbonate,baco3
barium hydroxide,baoh2
barium iodide,bai2
barium nitrate,bano32
barium sulfate,baso4
barium fluoride,baf2
barium ferrite,bafe2o4
barium ferrate,bafeo4
barium titanate,batio3
barium oxide,bao
barium peroxide,bao2
beryllium bromide,bebr2
beryllium carbonate,beco3
beryllium chloride,becl2
beryllium fluoride,bef2
beryllium hydride,beh2
beryllium hydroxide,beoh2
beryllium iodide,bei2
beryllium nitrate,beno32
beryllium nitride,be3n2
beryllium oxide,beo
beryllium sulfate,beso4
beryllium sulfite,beso3
beryllium borohydride,bebh42
beryllium telluride,bete
bismuth 3 oxide,bi2o3
bismuth 3 telluride,bi2te3
borax,na2b4o7·10h2o
boric acid,h3bo3
boron carbide,b4c
boron nitride,bn
boron oxide,b2o3
boron suboxide,b6o
boron trichloride,bcl3
boron trifluoride,bf3
bromine pentafluoride,brf5
bromine trifluoride,brf3
bromine monochloride,brcl
cacodylic acid,ch32aso2h
cadmium arsenide,cd3as2
cadmium bromide,cdbr2
cadmium chloride,cdcl2
cadmium fluoride,cdf2
cadmium iodide,cdi2
cadmium nitrate,cdno32
cadmium selenide,cdse
cadmium sulfate,cdso4
cadmium telluride,cdte
caesium bicarbonate,cshco3
caesium carbonate,cs2co3
caesium chromate,cs2cro4
caesium chloride,cscl
caesium fluoride,csf
caesium hydride,csh
calcium carbide,cac2
calcium chlorate,caclo32
calcium chloride,cacl2
calcium chromate,cacro4
calcium cyanamide,cacn2
calcium fluoride,caf2
calcium hydride,cah2
calcium hydroxide,caoh2
calcium sulfate ,caso4
carbon dioxide,co2
carbon disulfide,cs2
carbon monoxide,co
carbonic acid,h2co3
carbon tetrabromide,cbr4
carbon tetrachloride,ccl4
carbon tetraiodide,ci4
carbonyl fluoride,cof2
carbonyl sulfide,cos
carboplatin,c6h12n2o4pt
carborundum,sic
cerium 3 chloride,cecl3
cerium 3 bromide,cebr3
cerium sulfate,ceso42
cerium magnesium,cemg
cerium aluminium,ceal
cerium zinc,cezn
cerium silver,ceag
cerium cadmium,cecd
cerium mercury,cehg
cerium thallium,cetl
chloric acid,hclo3
chlorine,cl2
chlorine monoxide,clo
chlorine dioxide,clo2
chlorine trioxide,clo3
dichlorine monoxide,cl2o
dichlorine dioxide,cl2o2
dichlorine trioxide,cl2o3
dichlorine tetroxide,cloclo3
dichlorine hexoxide,cl2o6
dichlorine heptoxide,cl2o7
"chlorine tetroxide, the peroxide",o3clooclo3
chromic acid,cro3
chromium 3 chloride,crcl3
chromium 2 chloride,crcl2
chromium 3 oxide,cr2o3
chromium oxide,cro2
chromium 2 sulfate,crso4
chromium trioxide ,cro3
chromyl chloride,cro2cl2
cisplatin ,ptcl2nh32
cobalt 2 bromide,cobr2
cobalt 2 chloride,cocl2
cobalt 2 carbonate,coco3
cobalt 2 sulfate,coso4
columbite,fe2+nb2o6
copper 2 azide,cun32
copper 2 carbonate,cuco3
copper chloride,cucl
copper 2 chloride,cucl2
copper 2 hydroxide,cuoh2
copper 2 nitrate,cuno32
copper oxide,cu2o
copper 2 oxide,cuo
copper 2 sulfate,cuso4
copper sulfide,cu2s
copper 2 sulfide,cus
cyanogen,cn2
cyanogen chloride,cncl
cyanuric chloride,c3cl3n3
cyanogen bromide,cnbr
cyanogen iodide,icn
chrome-alum,k2so4cr2so43.24h2o
decaborane ,b10h14
diammonium phosphate,nh42hpo4
diborane,b2h6
dichlorosilane,sih2cl2
digallane,ga2h6
dinitrogen pentoxide ,n2o5
dinitrogen tetroxide,n2o4
disilane,si2h6
disulfur dichloride,s2cl2
dysprosium 3 chloride,dycl3
dysprosium oxide,dy2o3
dysprosium titanate,dy2ti2o7
erbium 3 chloride,ercl3
europium 3 chloride,eucl3
erbium-copper,ercu
erbium-gold,erau
erbium-silver,erag
erbium-iridium,erir
gadolinium 3 chloride,gdcl3
gadolinium 3 oxide,gd2o3
gallium antimonide,gasb
gallium arsenide,gaas
gallium trichloride,gacl3
gallium nitride,gan
gallium phosphide,gap
germane,geh4
digermane,ge2h6
germanium 2 fluoride,gef2
germanium fluoride,gef4
germanium 2 chloride,gecl2
germanium chloride,gecl4
germanium 2 bromide,gebr2
germanium bromide,gebr4
germanium 2 iodide,gei2
germanium iodide,gei4
germanium 2 oxide,geo
germanium oxide,geo2
germanium 2 sulfide,ges
germanium sulfide,ges2
germanium 2 selenide,gese
germanium selenide,gese2
germanium telluride,gete
germanium nitride,ge3n4
gold chloride,aucl
gold 3 chloride,aucl3
gold chloride,au4cl8
gold 3 chloride,aucl32
gold 3 fluoride,auf3
gold fluoride,auf5
gold bromide,aubr
gold 3 bromide,aubr32
gold iodide,aui
gold 3 iodide,aui3
gold hydride,auh
gold 3 oxide,au2o3
gold sulfide,au2s
gold 3 sulfide,au2s3
gold 3 selenide,ause
gold 3 selenide,au2se3
gold ditelluride,aute2
hafnium tetrafluoride,hff4
hafnium tetrachloride,hfcl4
hexadecacarbonylhexarhodium,rh6co16
hydrazine,n2h4
hydrazoic acid,hn3
hydrobromic acid,hbr
hydrochloric acid,hcl
hydroiodic acid,hi
hydrogen bromide,hbr
hydrogen chloride,hcl
hydrogen fluoride,hf
hydrogen peroxide,h2o2
hydrogen selenide,h2se
hydrogen sulfide,h2s
hydrogen telluride,h2te
hydroxylamine,nh2oh
hypochlorous acid,hclo
hypophosphorous acid,h3po2
indium antimonide,insb
indium arsenide,inas
indium chloride,incl
indium nitride,inn
indium phosphide,inp
iodic acid,hio3
iodine heptafluoride,if7
iodine pentafluoride,if5
iodine monochloride,icl
iodine trichloride,icl3
iridium chloride,ircl4
iron 2 chloride,fecl2
iron 3 chloride,fecl3
iron ferrocyanide,fe7cn18
iron 2 oxide,feo
iron 3 nitrate,feno33h2o9
iron oxide,fe3o4
iron 3 oxide,fe2o3
iron 3 thiocyanate,fescn3
krypton difluoride,krf2
lanthanum carbonate,la2co33
lanthanum magnesium,lamg
lanthanum aluminium,laal
lanthanum zinc,lazn
lanthanum silver,laag
lanthanum cadmium,lacd
lanthanum mercury,lahg
lanthanum tallium,latl
lead 2 carbonate,pbco3
lead 2 chloride,pbcl2
lead 2 iodide,pbi2
lead 2 nitrate,pbno32
lead hydrogen arsenate,pbhaso4
lead 2 oxide,pbo
lead oxide,pbo2
lead 2 phosphate,pb3po42
lead 2 sulfate,pbso4
lead 2 selenide,pbse
lead 2 sulfide,pbs
lead 2 telluride,pbte
lithium aluminium hydride,lialh4
lithium bromide,libr
lithium borohydride,libh4
lithium carbonate ,li2co3
lithium chloride,licl
lithium hypochlorite,liclo
lithium chlorate,liclo3
lithium perchlorate,liclo4
lithium cobalt oxide,licoo2
lithium peroxide,li2o2
lithium hydride,lih
lithium hydroxide,lioh
lithium iodide,lii
lithium iron phosphate,felio4p
lithium nitrate,lino3
lithium sulfide,li2s
lithium sulfite,hlio3s
lithium sulfate,li2so4
lithium superoxide,lio2
magnesium antimonide,mgsb
magnesium carbonate,mgco3
magnesium chloride,mgcl2
magnesium oxide,mgo
magnesium phosphate,mg3po42
magnesium sulfate,mgso4
manganese,mno2
manganese 2 sulfate monohydrate,mnso4.h2o
manganese 2 chloride,mncl2
manganese 3 chloride,mncl3
manganese fluoride,mnf4
manganese 2 phosphate,mn3po42
mercury chloride,hg2cl2
mercury 2 chloride,hgcl2
mercury fulminate,hgonc2
mercury 2 selenide,hgse
mercury sulfate,hg2so4
mercury 2 sulfate,hgso4
mercury 2 sulfide,hgs
mercury 2 telluride,hgte
metaphosphoric acid,hpo3
molybdenum trioxide,moo3
molybdenum disulfide,mos2
molybdenum hexacarbonyl,c6o6mo
molybdic acid,h2moo4
neodymium 3 chloride,ndcl3
nessler's reagent,k2hgi4
nickel 2 carbonate,nico3
nickel 2 hydroxide,nioh2
nickel 2 nitrate,nino32
nickel 2 oxide,nio
niobium oxychloride,nbocl3
niobium pentachloride,nbcl5
nitric acid,hno3
nitrogen monoxide,no
nitrogen dioxide,no2
nitrosylsulfuric acid,nohso4
osmium tetroxide ,oso4
osmium trioxide ,oso3
oxybis,c24h54osn2
oxygen difluoride,of2
ozone,o3
palladium 2 chloride,pdcl2
palladium 2 nitrate,pdno32
pentaborane,b5h9
pentasulfide antimony,sb2s5
perchloric acid,hclo4
perchloryl fluoride,clfo3
persulfuric acid ,h2so5
perxenic acid,h4xeo6
phenylarsine oxide,c6h5aso
phenylphosphine,c6h7p
phosgene,cocl2
phosphine,ph3
phosphite,hpo32-
phosphomolybdic acid,h3pmo12o40
phosphoric acid,h3po4
phosphorous acid ,h3po3
phosphorus pentabromide,pbr5
phosphorus pentafluoride,pf5
phosphorus pentasulfide,p4s10
phosphorus pentoxide,p2o5
phosphorus sesquisulfide,p4s3
phosphorus tribromide,pbr3
phosphorus trichloride,pcl3
phosphorus trifluoride,pf3
phosphorus triiodide,pi3
phosphotungstic acid,h3pw12o40
platinum 2 chloride,ptcl2
platinum chloride,ptcl4
plutonium 3 chloride,pucl3
plutonium dioxide ,puo2
potassium aluminium fluoride,kalf4
potassium borate,k2b4o7•4h2o
potassium bromide,kbr
potassium calcium chloride,kcacl3
potassium carbonate,k2co3
potassium chlorate,kclo3
potassium chloride,kcl
potassium cyanide,kcn
potassium ferrioxalate,k3fec2o43
potassium hydrogencarbonate,khco3
potassium hydrogen fluoride,hf2k
potassium hydroxide,koh
potassium iodide,ki
potassium iodidate,kio3
potassium monopersulfate,k2so4·khso4·2khso5
potassium nitrate,kno3
potassium perbromate,kbro4
potassium perchlorate,kclo4
potassium permanganate,kmno4
potassium sulfate,k2so4
potassium sulfide,k2s
potassium titanyl phosphate,ktiopo4
potassium vanadate,kvo3
praseodymium 3 chloride,prcl3
protonated molecular hydrogen,h3+
prussian blue ,fe4fecn63
pyrosulfuric acid,h2s2o7
radium chloride,racl2
radon difluoride,rnf2
rhodium 3 chloride,rhcl3
rubidium bromide,rbbr
rubidium chloride,rbcl
rubidium fluoride,rbf
rubidium hydroxide,rboh
rubidium iodide,rbi
rubidium nitrate,rbno3
rubidium oxide,rb2o
rubidium telluride,rb2te
ruthenium 8 oxide,ruo4
samarium 2 iodide,smi2
samarium 3 chloride,smcl3
scandium 3 triflate,scoso2cf33
scandium 3 chloride,sccl3 and hydrate
scandium 3 fluoride,scf3
scandium 3 nitrate,scno33
scandium 3 oxide,sc2o3
selenic acid,h2seo4
selenious acid,h2seo3
selenium trioxide,seo3
selenium tetrafluoride,sef4
selenium hexafluoride,sef6
selenium hexasulfide,se2s6
selenium tetrachloride,secl4
selenium dioxide,seo2
selenium disulfide,ses2
selenium oxydichloride,seocl2
selenium oxybromide,seobr2
selenoyl fluoride,seo2f2
samarium 3 chloride,smcl3
scandium 3 triflate,scoso2cf33
scandium 3 chloride,sccl3 and hydrate
scandium 3 fluoride,scf3
scandium 3 nitrate,scno33
scandium 3 oxide,sc2o3
silane,sih4
silica gel,sio2·nh2o
silicic acid,sioxoh4-2xn
silicon tetrabromide,sibr4
silicon carbide,sic
"silicochloroform, trichlorosilane",cl3hsi
silicofluoric acid,h2sif6
silicon dioxide,sio2
silicon tetrachloride,sicl4
silicon monoxide,sio
silicon nitride,si3n4
silver azide,agn3
silver bromate,agbro3
silver bromide,agbr
silver chloride,agcl
silver chlorate,agclo3
silver chromate,ag2cro4
silver fluoride,agf
silver 2 fluoride,agf2
silver subfluoride,ag2f
silver fluoroborate,agbf4
silver fulminate,agcno
silver hydroxide,agoh
silver iodide,agi
silver nitrate,agno3
silver nitride,ag3n
silver oxide,ag2o
silver orthophosphate,ag3po4
silver perchlorate,agclo4
silver sulfide,ag2s
silver sulfate,ag2so4
sodamide,nanh2
sodium aluminate,naalo2
sodium azide,nan3
sodium borohydride,nabh4
sodium bromide,nabr
sodium bromite,nabro2
sodium bromate,nabro3
sodium perbromate,nabro4
sodium hypobromite,nabro
sodium borate,na2b4o7
sodium perborate,nabo3.nh2o
sodium carbonate,na2co3
sodium carbide,na2c2
sodium chloride,nacl
sodium chlorite,naclo2
sodium chlorate,naclo3
sodium perchlorate,naclo4
sodium cyanide,nacn
sodium cyanate,nacno
sodium dioxide,nao2
sodium ferrocyanide,na4fecn6
sodium hydride,nah
sodium hydrogen carbonate ,nahco3
sodium hydrosulfide,nash
sodium hydroxide,naoh
sodium hypochlorite,naocl
sodium iodide,nai
sodium iodate,naio3
sodium periodate,naio4
sodium hypoiodite,naio
sodium monofluorophosphate ,na2pfo3
sodium molybdate,na2moo4
sodium manganate,na2mno4
sodium nitrate,nano3
sodium nitrite,nano2
sodium oxide,na2o
sodium percarbonate,2na2co3.3h2o2
sodium phosphate; see trisodium phosphate,na3po4
sodium hypophosphite,napo2h2
sodium nitroprusside,na2fecn5no.2h2o
sodium persulfate,na2s2o8
sodium peroxide,na2o2
sodium perrhenate,nareo4
sodium permanganate,namno4
sodium persulfate,na2s2o8
sodium selenite,na2seo3
sodium selenate,na2o4se
sodium selenide,na2se
sodium biselenide,nahse
sodium silicate,na2sio3
sodium sulfate,na2so4
sodium sulfide,na2s
sodium sulfite,na2so3
sodium tellurite,na2teo3
sodium tungstate,na2wo4
sodium thioantimoniate,na3sbs4.9h2o
sodium thiocyanate,nascn
sodium thiocyanate,na2s2o3
sodium uranate,na2o7u2
stannous chloride ,sncl2
stibine,sbh3
strontium carbonate,srco3
strontium chloride,srcl2
strontium hydroxide,sroh2
strontium nitrate,srno32
strontium oxide,sro
strontium titanate,srtio3
sulfamic acid,h3no3s
sulfane,h2s
sulfur dioxide,so2
sulfur tetrafluoride,sf4
sulfur hexafluoride,sf6
disulfur decafluoride,s2f10
sulfuric acid,h2so4
sulfurous acid,h2so3
sulfuryl chloride,so2cl2
tantalum carbide,tac
tantalum oxide,ta2o5
telluric acid,h6teo6
tellurium dioxide,teo2
tellurium tetrachloride,tecl4
tellurous acid,h2teo3
terbium 3 chloride,tbcl3
tetraborane,b4h10
tetrachloroauric acid,aucl3
tetrafluorohydrazine,n2f4
tetramminecopper 2 sulfate,cunh34so4
tetrasulfur tetranitride,s4n4
thallium carbonate,tl2co3
thallium fluoride,tlf
thallium 3 oxide,tl2o3
thallium 3 sulfate,tl2so42
thionyl chloride,socl2
thiophosgene,cscl2
thiophosphoryl chloride,cl3ps
thorium dioxide,tho2
thortveitite,"sc,y2si2o7"
thulium 3 chloride,tmcl3
tin 2 chloride,sncl2
tin 2 fluoride,snf2
tin chloride,sncl4
titanium boride,tib2
titanium carbide,tic
titanium dioxide ,tio2
titanium dioxide ,tio2
titanium nitride,tin
titanium,tibr4
titanium,ticl4
titanium 3 chloride,ticl3
titanium 2 chloride,ticl2
titanium,tii4
trifluoromethylisocyanide,c2nf3
trifluoromethanesulfonic acid,cf3so3h
trimethylphosphine,c3h9p
trioxidane,h2o3
tripotassium phosphate,k3po4
trisodium phosphate,na3po4
triuranium octaoxide ,u3o8
tungsten carbide,wc
tungsten chloride,wcl6
tungsten fluoride,wf6
tungstic acid,h2wo4
tungsten hexacarbonyl,wco6
uranium hexafluoride,uf6
uranium pentafluoride,uf5
uranium tetrachloride,ucl4
uranium tetrafluoride,uf4
uranyl carbonate,uo2co3
uranyl chloride,uo2cl2
uranyl fluoride,uo2f2
uranyl hydroxide,uo2oh2
uranyl hydroxide,uo22oh4
uranyl nitrate,uo2no32
uranyl sulfate,uo2so4
vanadium carbide,vc
vanadium oxytrichloride ,vocl3
vanadium chloride,vcl4
vanadium 2 chloride,vcl2
vanadium 2 oxide,vo
vanadium 3 nitride,vn
vanadium 3 bromide,vbr3
vanadium 3 chloride,vcl3
vanadium 3 fluoride,vf3
vanadium fluoride,vf4
vanadium 3 oxide,v2o3
vanadium oxide,vo2
vanadium sulfate,voso4
vanadium oxide,v2o5
water,h2o
xenon difluoride,xef2
xenon hexafluoroplatinate,xeptf6
xenon tetrafluoride,xef4
xenon tetroxide,xeo4
xenic acid,h2xeo4
ytterbium 3 chloride,ybcl3
ytterbium 3 oxide,yb2o3
yttrium 3 antimonide,ysb
yttrium 3 arsenide,yas
yttrium 3 bromide,ybr3
yttrium aluminium garnet,y3al5o12
yttrium barium copper oxide,yba2cu3o7
yttrium 3 fluoride,yf3
yttrium iron garnet,y3fe5o12
yttrium 3 oxide,y2o3
yttrium 3 sulfide,y2s3
yttrium copper,ycu
yttrium silver,yag
yttrium gold,yau
yttrium rhodium,yrh
yttrium iridium,yir
yttrium zinc,yzn
yttrium cadmium,ycd
yttrium magnesium,ymg
zinc bromide,znbr2
zinc carbonate,znco3
zinc chloride,zncl2
zinc cyanide,zncn2
zinc fluoride,znf2
zinc iodide,zni2
zinc oxide,zno
zinc selenide,znse
zinc sulfate,znso4
zinc sulfide,zns
zinc telluride,znte
zirconia hydrate,zro2·nh2o
zirconium carbide,zrc
zirconium chloride,zrcl4
zirconium nitride,zrn
zirconium hydroxide,zroh4
zirconium oxide,zro2
zirconium orthosilicate,zrsio4
zirconium tetrahydroxide,h4o4zr
zirconium tungstate,zrw2o8
